Tipo;Nome;Lat;Lon
Burger King;Burger King Aeroporto de Faro;37.0204252057762;-7.968253755423897
Burger King;Burger King Drive Torres Vedras;39.08239070241392;-9.260114032247623
Burger King;Burger King Aboboda;38.72404206661546;-9.336205793975674
Burger King;Burger King Aeroporto Lisboa;38.769976359889085;-9.130036413195628
Burger King;Burger King Aeroporto Porto;41.23564853292649;-8.67166538208973
Burger King;Burger King Albergaria;40.712814448977554;-8.482494245490214
Burger King;Burger King Alfena;41.2346628038715;-8.539656692952615
Burger King;Burger King Algarve Shopping;37.127310684267435;-8.280230078529934
Burger King;Burger King Alges;38.69907843225825;-9.232903875571122
Burger King;Burger King Alta Lisboa;38.78874585099163;-9.146526934978361
Burger King;Burger King Alvaláxia;38.76065773190218;-9.159637001417423
Burger King;Burger King Amarante;41.272519695403844;-8.089434437405908
Burger King;Burger King Anta;38.77473159980471;-9.282789602254494
Burger King;Burger King Antas DV;41.16342039669666;-8.583929051222784
Burger King;Burger King Aveiro Carrefour;40.649544378529534;-8.614777907634872
Burger King;Burger King Avenida Roma;38.751138082190394;-9.142632693751105
Burger King;Burger King Fórum Barreiro;38.66241824809785;-9.073605899022159
Burger King;Burger King Barreiro;38.654529218002224;-9.059203052736425
Burger King;Burger King Beja;38.02107743947491;-7.846749320252996
Burger King;Burger King Boavista;41.162484348706734;-8.653890101063567
Burger King;Burger King Braga;41.534579904597685;-8.438078838263424
Burger King;Burger King Braga Arcada;41.578971418856774;-8.429232645776844
Burger King;Burger King Braga Media Market;41.543132240984704;-8.399031508684683
Burger King;Burger King Braga Norte;41.55930644641954;-8.418302402521144
Burger King;Burger King Braga Real;41.560279087315664;-8.446708735696106
Burger King;Burger King Bragança;41.807860709220066;-6.760232799909244
Burger King;Burger King Cacem;38.76962599359541;-9.313385753266541
Burger King;Burger King Caldas da Rainha;39.4025264266262;-9.147890192271106
Burger King;Burger King Campo Pequeno;38.74254981541614;-9.14531947578593
Burger King;Burger King Carmo;38.71262559518825;-9.139729386572583
Burger King;Burger King Cascais (R das Tulipas);38.71649215591301;-9.440290636679345
Burger King;Burger King Cascais (R Visconde da Luz);38.69895299304152;-9.421056047275796
Burger King;Burger King Castelo Branco;39.80806419022861;-7.514612506519758
Burger King;Burger King Chaves;41.731618078005056;-7.467623725781553
Burger King;Burger King Coimbra (Estrada da Beira);40.19622053276394;-8.402359062690381
Burger King;Burger King Coimbra (Av Emidio Navarro);40.20672146881638;-8.428810967863676
Burger King;Burger King Coimbra Dv;40.20467766927592;-8.407908971280387
Burger King;Burger King Colombo;38.75433012635403;-9.188613453901556
Burger King;Burger King Covilha;40.27059491083063;-7.502261219877112
Burger King;Burger King Cruz de Pau;38.623879891414454;-9.125744129856574
Burger King;Burger King Drive Bragança;41.787396392380685;-6.773947888607451
Burger King;Burger King Drive Viana;41.67883292951682;-8.783922380080414
Burger King;Burger King Drive Vila Real;41.29808236976885;-7.749953567319468
Burger King;Burger King Dv Ovar;40.8763860611519;-8.634139947727089
Burger King;Burger King Dv Tejo;38.77696617911751;-9.219647028421248
Burger King;Burger King Ericeira;38.96538514136867;-9.40917831024207
Burger King;Burger King Ermesinde;41.204975020192634;-8.54714568788829
Burger King;Burger King Espaco Guimaraes;41.44909324735211;-8.343256552697326
Burger King;Burger King Estádio Universitário de Lisboa;38.75033350433635;-9.164235851819825
Burger King;Burger King Estarreja;40.762886034693665;-8.571713584121055
Burger King;Burger King Evora;38.55442995565725;-7.914942187620729
Burger King;Burger King Fafe;41.45297425914678;-8.18752931581796
Burger King;Burger King Famalicao;41.403057683680224;-8.515818899776077
Burger King;Burger King Faro;37.02052844115987;-7.92366304695404
Burger King;Burger King Fátima;39.63406897885584;-8.683589253916224
Burger King;Burger King Ferreira Borges;38.717120707295514;-9.164174264844904
Burger King;Burger King Flamenga;38.807527408014195;-9.156653179069135
Burger King;Burger King Forum Algarve;37.0290359612804;-7.9452719692039
Burger King;Burger King Forum Almada;38.66023815405695;-9.174151980656845
Burger King;Burger King Forum Coimbra;40.2115280130862;-8.44257910250286
Burger King;Burger King Forum Montijo;38.69476060184145;-8.942339756847215
Burger King;Burger King Forum Viseu;40.67302662111764;-7.916149856222927
Burger King;Burger King Gaia;41.12047420170205;-8.605133465442767
Burger King;Burger King Gaia Jardim;41.13822742493506;-8.638478137976204
Burger King;Burger King Ikea Matosinhos;41.20943894319296;-8.687287371336005
Burger King;Burger King Lagos;37.10010850793085;-8.682730113163538
Burger King;Burger King Leiriashopping;39.73213549611289;-8.82424972766877
Burger King;Burger King Loureshopping;38.8342396430264;-9.156882582342538
Burger King;Burger King Lourinhã;39.24697045156885;-9.312015154585984
Burger King;Burger King Mafra;38.93265238410129;-9.32986685623413
Burger King;Burger King Maia;41.23605878486753;-8.615674215600208
Burger King;Burger King Malveira;38.93029526019193;-9.251964214708712
Burger King;Burger King Marco de Canaveses;41.17953459555306;-8.153494388958926
Burger King;Burger King Marquês Pombal;38.72674656701533;-9.148889267675438
Burger King;Burger King Matosinhos (R Silva Pinheiro);41.18105201487734;-8.681129387075497
Burger King;Burger King Matosinhos (R Sousa Aroso);41.17641869162487;-8.690598184943692
Burger King;Burger King Mem Martins;38.78626551547758;-9.339937382325747
Burger King;Burger King Mira Maia;41.25606186369405;-8.653343925738302
Burger King;Burger King Mm Arieiro Asa Norte;38.77988992174169;-9.122336320008033
Burger King;Burger King Mm Lusoponte Sul;38.7253727479424;-8.98688336211667
Burger King;Burger King Mm Modivas Sul;41.28855878502367;-8.704425488914355
