Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Escola Básica Bernardino Machado, Joane, Vila Nova de Famalicão;41.439655;-8.412899;Braga;Público;CD
Escola Secundária Padre Benjamim Salgado, Vila Nova de Famalicão;41.437717;-8.414358;Braga;Público;DE
Escola de Música de Vila Verde;41.650956;-8.437914;Braga;Privado;M
Escola Profissional Amar Terra Verde;41.65449;-8.437926;Braga;Privado;DO
Escola Secundária de Vila Verde;41.646027;-8.434344;Braga;Público;DE
Escola Básica de Moure e Ribeira do Neiva, Ribeira, Vila Verde;41.640884;-8.4811;Braga;Público;BCD
Escola Básica de Ribeira do Neiva, Vila Verde;41.694614;-8.496689;Braga;Público;BCD
Escola Básica de Prado, Vila Verde;41.60403;-8.460725;Braga;Público;CD
Escola Básica de Vila Verde;41.647797;-8.428851;Braga;Público;CD
Escola Básica Monsenhor Elísio Araújo, Vila Verde;41.68835808;-8.424796036;Braga;Público;ABCD
Academia de Música da Sociedade Filarmónica Vizelense;41.375778;-8.312206;Braga;Privado;M
Colégio de Vizela;41.353188;-8.282078;Braga;Privado;ABCD
Escola Profissional Cenatex - Pólo de Vizela;41.374568;-8.312204;Braga;Privado;O
Escola Básica de Caldas de Vizela, Vizela;41.367416;-8.310428;Braga;Público;CD
Escola Secundária de Caldas de Vizela, Vizela;41.381866;-8.311818;Braga;Público;E
Escola Básica e Secundária de Ínfias, Vizela;41.389114;-8.3133135;Braga;Público;CDE
Escola Básica e Secundária de Alfândega da Fé;41.343845555556;-6.9626375;Bragança;Público;CDE
Conservatório de Música de Bragança - Centro Cultural;41.80543;-6.7572155;Bragança;Privado;M
Escola Profissional ENSIBRIGA;41.801132;-6.764659;Bragança;Privado;O
Escola Profissional Prática Universal de Bragança;41.800762;-6.7645516;Bragança;Privado;O
Escola Básica Augusto Moreno, Bragança;41.809185;-6.7644954;Bragança;Público;BCD
Escola Básica de Izeda, Bragança;41.569668;-6.725269;Bragança;Público;ABCD
Escola Secundária Abade de Baçal, Bragança;41.807533;-6.761552;Bragança;Público;DE
Escola Básica Paulo Quintela, Bragança;41.80815;-6.769541;Bragança;Público;CD
Escola Secundária Emídio Garcia, Bragança;41.80362;-6.763212;Bragança;Público;DE
Escola Básica e Secundária Miguel Torga, Bragança;41.806416;-6.7483177;Bragança;Público;CDE
Escola Básica e Secundária de Carrazeda de Ansiães;41.246162;-7.305115;Bragança;Público;CDE
Escola Básica Guerra Junqueiro, Freixo de Espada à Cinta;41.091057;-6.8105373;Bragança;Público;CD
Escola Profissional Jean Piaget – Macedo Cavaleiros;41.537081;-6.967726;Bragança;Privado;O
Escola Básica e Secundária de Macedo de Cavaleiros;41.539448;-6.96854;Bragança;Público;BCDE
Escola Básica de Sendim, Miranda do Douro;41.3909915;-6.426008889;Bragança;Público;BCD
Escola Básica e Secundária de Miranda do Douro;41.50254354;-6.279716203;Bragança;Público;CDE
Academia de Música e Artes Jean Piaget;41.481226582635;-7.1784228086472;Bragança;Privado;M
Colégio da Torre Dona Chama;41.648167;-7.131046;Bragança;Privado;ADE
Escola Profissional Artes de Mirandela;41.485626;-7.178469;Bragança;Privado;DO
Escola Profissional de Agricultura e Desenvolvimento Rural de Carvalhais, Mirandela;41.510006;-7.1604013;Bragança;Público;DO
Escola Básica de Torre de Dona Chama, Mirandela;41.65738;-7.131629;Bragança;Público;ABCD
Escola Secundária de Mirandela;41.478455;-7.1809287;Bragança;Público;DE
Escola Básica e Secundária do Mogadouro;41.34018;-6.7147107;Bragança;Público;CDE
Escola Básica e Secundária Dr. Ramiro Salgado, Torre de Moncorvo;41.175581;-7.058626;Bragança;Público;CDE
Escola Básica e Secundária de Vila Flor;41.304523;-7.15238;Bragança;Público;CDE
Escola Básica de Vimioso;41.58389;-6.529444;Bragança;Público;CD
Escola Básica e Secundária D. Afonso III, Vinhais;41.838985;-7.0032477;Bragança;Público;CDE
Escola de Música do Centro de Cultura Pedro Álvares Cabral;40.35516;-7.354002;Castelo Branco;Privado;M
Escola Básica e Secundária Pedro Álvares Cabral, Belmonte;40.36236;-7.345464;Castelo Branco;Público;CDE
Centro Educativo de São Fiel;40.043007;-7.5029;Castelo Branco;Público;CD
Conservatório Regional de Castelo Branco;39.82706;-7.491538;Castelo Branco;Privado;M
Escola Profissional Agostinho Roseta - UGT;39.816248;-7.51043;Castelo Branco;Privado;O
Escola Tecnológica e Profissional Albicastrense;39.817542;-7.486298;Castelo Branco;Privado;DO
INETESE - Instituto para o Ensino e Formação;39.82627;-7.479051;Castelo Branco;Privado;O
Escola Básica Afonso de Paiva, Castelo Branco;39.820199;-7.502147;Castelo Branco;Público;BCD
Escola Básica João Roiz de Castelo Branco, Castelo Branco;39.818714;-7.5059905;Castelo Branco;Público;BCD
Escola Secundária Amato Lusitano, Castelo Branco;39.822742;-7.499789;Castelo Branco;Público;DE
Escola Básica de São Vicente da Beira, Castelo Branco;40.03455;-7.5679502;Castelo Branco;Público;ABCD
Escola Básica e Secundária de Alcains, Castelo Branco;39.91065;-7.4667335;Castelo Branco;Público;CDE
Escola Básica Cidade de Castelo Branco;39.821033;-7.4765134;Castelo Branco;Público;ABCD
Escola Básica Professor Doutor António Sena Faria de Vasconcelos, Castelo Branco;39.81404;-7.4819956;Castelo Branco;Público;BCD
Escola Secundária Nuno Álvares, Castelo Branco;39.822163;-7.49266;Castelo Branco;Público;DE
Conservatório Regional de Música da Covilhã;40.28056;-7.502103;Castelo Branco;Privado;ABM
Escola Profissional Agrícola Quinta da Lageosa, Aldeia do Souto, Covilhã;40.354984;-7.3893156;Castelo Branco;Público;DO
Escola Profissional de Artes da Beira Interior;40.265266;-7.496166;Castelo Branco;Privado;O
Escola Secundária Campos de Melo, Covilhã;40.279476;-7.50073;Castelo Branco;Público;DE
Escola Secundária Quinta das Palmeiras, Covilhã;40.273693;-7.501027;Castelo Branco;Público;DE
Escola Básica de São Domingos, Cantar-Galo, Covilhã;40.296963;-7.495219;Castelo Branco;Público;BCD
Escola Básica n.º 2 de Teixoso, Covilhã;40.315277;-7.461406;Castelo Branco;Público;CD
Escola Básica de Tortosendo, Covilhã;40.238434;-7.523778;Castelo Branco;Público;CD
Escola Básica n.º 2 de Paúl, Covilhã;40.20638;-7.6398764;Castelo Branco;Público;CD
Escola Secundária Frei Heitor Pinto, Covilhã;40.278584;-7.50019;Castelo Branco;Público;DE
Escola Básica Pêro da Covilhã, Covilhã;40.274715;-7.50124;Castelo Branco;Público;BCD
Academia de Música e Dança do Fundão;40.13715;-7.498276;Castelo Branco;Privado;M
Escola Profissional do Fundão (Sede);40.13488;-7.503879;Castelo Branco;Privado;DO
"Externato ""Capitão Santiago de Carvalho""";40.097668;-7.467374;Castelo Branco;Privado;CDE
Escola Básica João Franco, Fundão;40.13967;-7.5017695;Castelo Branco;Público;BCD
Escola Secundária de Fundão;40.140675;-7.5005684;Castelo Branco;Público;DE
Escola Básica de Silvares, Fundão;40.144264;-7.66629;Castelo Branco;Público;BCD
Escola Básica Serra da Gardunha, Fundão;40.13318;-7.5060115;Castelo Branco;Público;BCD
Escola Profissional da Raia - Idanha-a-Nova;39.923397;-7.240226;Castelo Branco;Privado;DO
Escola Básica e Secundária José Silvestre Ribeiro, Idanha-a-Nova;39.929287;-7.2413206;Castelo Branco;Público;CDE
Escola Básica e Secundária Padre António de Andrade, Oleiros;39.921165;-7.9125614;Castelo Branco;Público;CDE
Escola Básica e Secundária Ribeiro Sanches, Penamacor;40.165543;-7.1758504;Castelo Branco;Público;CDE
Escola Básica e Secundária Pedro da Fonseca, Proença-a-Nova;39.75183;-7.923478;Castelo Branco;Público;CDE
Escola Tecnológica e Profissional da Sertã;39.799374;-8.094903;Castelo Branco;Privado;O
"Instituto ""Vaz Serra""";39.815163;-8.182935;Castelo Branco;Privado;CDE
Escola Básica de Sertã;39.80554;-8.090783;Castelo Branco;Público;BCD
Escola Básica Padre António Lourenço Farinha, Sertã;39.804672;-8.092212;Castelo Branco;Público;CD
Escola Secundária de Sertã;39.802948;-8.094799;Castelo Branco;Público;E
Escola Básica e Secundária do Centro de Portugal, Vila de Rei;39.68168;-8.143465;Castelo Branco;Público;BCDE
Escola Básica de Vila Velha de Ródão;39.654823;-7.6770473;Castelo Branco;Público;BCD
Escola Básica n.º 2 de Arganil;40.22309;-8.062333;Coimbra;Público;CD
Escola Básica Professor Mendes Ferrão, Coja, Arganil;40.26969;-7.9863124;Coimbra;Público;CD
Escola Secundária de Arganil;40.22232;-8.052676;Coimbra;Público;DE
Academia de Música de Cantanhede;40.340046;-8.604825;Coimbra;Privado;M
Centro de Estudos Educativos de Ançã;40.272354;-8.516265;Coimbra;Privado;CDE
Escola Pedro Teixeira;40.340343;-8.605177;Coimbra;Privado;BCD
Escola Técnico Profissional de Cantanhede;40.346874;-8.591104;Coimbra;Privado;DO
Escola Básica e Secundária João Garcia Bacelar, Tocha, Cantanhede;40.312897;-8.747539;Coimbra;Público;BCDE
Escola Básica Carlos de Oliveira, Febres, Cantanhede;40.400578;-8.63636;Coimbra;Público;CD
Escola Secundária Lima-de-Faria, Cantanhede;40.345104;-8.583776;Coimbra;Público;DE
Escola Básica Marquês de Marialva, Cantanhede;40.343597;-8.584113;Coimbra;Público;CD
Centro Educativo dos Olivais;40.2183;-8.402975;Coimbra;Público;BCD
Colégio Bissaya Barreto;40.215797;-8.4632435;Coimbra;Privado;BCDE
Colégio da Imaculada Conceição;40.141212;-8.471548;Coimbra;Privado;CDE
Colégio da Rainha Stª Isabel;40.201183;-8.421707;Coimbra;Privado;ABCDE
Colégio de S. José;40.214962;-8.427246;Coimbra;Privado;ABCD
Colégio de S. Teotónio;40.200485;-8.420199;Coimbra;Privado;ABCDE
Conservatório de Música e Artes de Coimbra;40.235936613326;-8.4155005216598;Coimbra;Privado;M
Conservatório Regional de Coimbra;40.20108;-8.436004;Coimbra;Privado;M
Escola Artística do Conservatório de Música de Coimbra;40.19305503;-8.40866357;Coimbra;Público;CDEM
Escola Básica e Secundária Quinta das Flores, Coimbra;40.192524;-8.408792;Coimbra;Público;CDE
Escola de Hotelaria e Turismo de Coimbra;40.189995;-8.419271;Coimbra;Público;O
Escola de Música São Teotónio;40.200535;-8.420254;Coimbra;Privado;M
Escola Profissional das Artes de Coimbra;40.23494;-8.415999;Coimbra;Privado;O
Escola Profissional Profitecla (Deleg.);40.202866;-8.416129;Coimbra;Privado;O
Escola Secundária Avelar Brotero, Coimbra;40.20563;-8.410455;Coimbra;Público;E
Escola Secundária D. Dinis, Coimbra;40.2416;-8.433073;Coimbra;Público;DE
Escola Secundária Infanta D. Maria, Coimbra;40.206623;-8.407815;Coimbra;Público;DE
Escola Secundária José Falcão, Coimbra;40.211273;-8.413115;Coimbra;Público;DE
Instituto de Almalaguês;40.13245;-8.395159;Coimbra;Privado;CDE
Instituto Educativo de Lordemão;40.236;-8.415607;Coimbra;Privado;ABCD
Instituto Educativo de Souselas;40.29723;-8.426438;Coimbra;Privado;CDE
Instituto Técnico Artístico e Profissional de Coimbra;40.199855;-8.402531;Coimbra;Privado;DO
St. Paul’s School;40.201305;-8.472331;Coimbra;Privado;ABCD
Escola Básica n.º 2 de São Silvestre, Coimbra;40.23305;-8.535991;Coimbra;Público;CD
Escola Básica Poeta Manuel da Silva Gaio, Santa Clara, Coimbra;40.208626;-8.437028;Coimbra;Público;BCD
Escola Secundária Jaime Cortesão, Coimbra;40.21175;-8.427281;Coimbra;Público;DE
Escola Básica Inês de Castro, São Martinho do Bispo, Coimbra;40.190735;-8.4584;Coimbra;Público;CD
Escola Básica n.º 2 de Taveiro, Coimbra;40.19394;-8.501229;Coimbra;Público;CD
Escola Secundária D. Duarte, Coimbra;40.19937;-8.431337;Coimbra;Público;DE
Escola Básica de Ceira, Coimbra;40.18333;-8.393426;Coimbra;Público;CD
Escola Básica Dr.ª Maria Alice Gouveia, Coimbra;40.197506;-8.400271;Coimbra;Público;CD
Escola Básica Eugénio de Castro, Coimbra;40.20841;-8.402577;Coimbra;Público;CD
Escola Básica Martim de Freitas, Coimbra;40.217182;-8.414084;Coimbra;Público;BCD
Escola Básica Rainha Santa Isabel, Pedrulha, Coimbra;40.251747;-8.440665;Coimbra;Público;BCD
Escola Básica n.º 2 de Condeixa-a-Nova;40.116726;-8.494841;Coimbra;Público;CD
Escola Secundária Fernando Namora, Condeixa-a-Nova;40.10822;-8.497681;Coimbra;Público;DE
Conservatório de Música David de Sousa;40.148539;-8.862427;Coimbra;Privado;BM
Escola Profissional da Figueira da Foz;40.15007;-8.845218;Coimbra;Privado;DO
Escola Secundária Dr. Joaquim de Carvalho, Figueira da Foz;40.16107;-8.860428;Coimbra;Público;DE
Instituto Tecnológico e Profissional da Figueira da Foz;40.150116;-8.844836;Coimbra;Privado;DO
Escola Básica João de Barros, Figueira da Foz;40.157883;-8.861363;Coimbra;Público;CD
Escola Básica Dr. Pedrosa Veríssimo, Paião, Figueira da Foz;40.069447;-8.811019;Coimbra;Público;CD
Escola Básica Infante D. Pedro, Buarcos, Figueira da Foz;40.168056;-8.879893;Coimbra;Público;BCD
Escola Secundária Dr. Bernardino Machado, Figueira da Foz;40.152405;-8.858109;Coimbra;Público;DE
Escola Básica Pintor Mário Augusto, Alhadas, Figueira da Foz;40.190823;-8.788883;Coimbra;Público;CD
Escola Secundária Cristina Torres, Figueira da Foz;40.15678;-8.844806;Coimbra;Público;DE
Escola Básica de Góis;40.16091;-8.1099;Coimbra;Público;ABCD
Academia de Bailado da Lousã;40.109227;-8.24623;Coimbra;Privado;M
Escola Profissional da Lousã;40.106514;-8.245919;Coimbra;Privado;DO
Escola Básica n.º 1 de Lousã;40.121497;-8.230983;Coimbra;Público;BCD
Escola Básica n.º 2 de Lousã;40.117226;-8.243098;Coimbra;Público;BCD
Escola Secundária de Lousã;40.118546;-8.24108;Coimbra;Público;DE
Escola Profissional de Mira;40.42786;-8.72324;Coimbra;Privado;O
Escola Básica de Mira;40.429276;-8.738512;Coimbra;Público;BCD
Escola Secundária Dr.ª Maria Cândida, Mira;40.42931;-8.742971;Coimbra;Público;DE
Escola Básica e Secundária José Falcão, Miranda do Corvo;40.090214;-8.3328285;Coimbra;Público;CDE
Escola Básica Professor Doutor Ferrer Correia, Senhor da Serra, Miranda do Corvo;40.15946;-8.345173;Coimbra;Público;ABCD
Escola Profissional Agrícola Afonso Duarte;40.172684;-8.680112;Coimbra;Privado;DO
Escola Profissional Montemor-o-Velho;40.18334;-8.673304;Coimbra;Privado;DO
Escola Básica de Arazede, Montemor-o-Velho;40.28752;-8.675456;Coimbra;Público;BCD
Escola Básica de Pereira, Montemor-o-Velho;40.177654;-8.584988;Coimbra;Público;ABCD
Escola Básica Dr. José dos Santos Bessa, Carapinheira, Montemor-o-Velho;40.203186;-8.647063;Coimbra;Público;CD
Escola Básica e Secundária de Montemor-o-Velho;40.181404;-8.674592;Coimbra;Público;CDE
EPTOLIVA - Escola Profissional de Oliveira do Hospital/Tábua e Arganil;40.361053;-7.859399;Coimbra;Privado;O
Escola Básica de Cordinha, Oliveira do Hospital;40.426247;-7.8832574;Coimbra;Público;ABCD
Escola Básica de Lagares da Beira, Oliveira do Hospital;40.402763;-7.8551946;Coimbra;Público;ABCD
Escola Básica de Ponte das Três Entradas, Oliveira do Hospital;40.306667;-7.8690467;Coimbra;Público;BCD
Escola Básica n.º 2 de Oliveira do Hospital;40.355797;-7.854886;Coimbra;Público;BCD
Escola Secundária de Oliveira do Hospital;40.355087;-7.854666;Coimbra;Público;DE
Escola Básica e Secundária Escalada, Pampilhosa da Serra;40.04423;-7.9489684;Coimbra;Público;ABCDE
Escola Beira-Aguieira - Escola Profissional (Deleg.);40.269947;-8.280723;Coimbra;Privado;DO
Escola de Artes de Penacova;40.270795;-8.283937;Coimbra;Privado;M
Escola Básica de São Pedro de Alva, Penacova;40.30499;-8.16142;Coimbra;Público;BCD
Escola Básica e Secundária de Penacova;40.272427;-8.285847;Coimbra;Público;CDE
Escola Tecnológica e Profissional de Sicó (Deleg.);40.02681;-8.386775;Coimbra;Privado;O
Escola Básica Infante D. Pedro, Penela;40.025288;-8.387831;Coimbra;Público;ABCD
"Instituto ""Pedro Hispano""";40.161404;-8.63321;Coimbra;Privado;CDE
Escola Básica de Soure;40.0661;-8.62615;Coimbra;Público;BCD
Escola Básica e Secundária Martinho Árias, Soure;40.06823;-8.614304;Coimbra;Público;BCDE
EPTOLIVA - Escola Profissional de Oliveira do Hospital/Tábua e Arganil;40.357483;-8.026729;Coimbra;Privado;O
Escola Básica Margarida Fierro Caeiro da Matta, Midões, Tábua;40.385704;-7.9372725;Coimbra;Público;BCD
Escola Básica n.º 2 de Tábua;40.361233;-8.027756;Coimbra;Público;BCD
Escola Secundária de Tábua;40.362167;-8.02882;Coimbra;Público;DE
Escola Básica e Secundária Dr. Daniel de Matos, Vila Nova de Poiares;40.212177;-8.251944;Coimbra;Público;CDE
Escola Básica Diogo Lopes Sequeira, Alandroal;38.70511;-7.403481;Évora;Público;BCD
Escola Básica e Secundária Cunha Rivara, Arraiolos;38.725395;-7.991074;Évora;Público;CDE
Escola Básica Padre Bento Pereira, Borba;38.802483;-7.4544473;Évora;Público;ABCD
Escola Secundária Rainha Santa Isabel, Estremoz;38.84956;-7.5871964;Évora;Público;DE
Escola Básica Sebastião da Gama, Estremoz;38.84837;-7.5902476;Évora;Público;CD
Conservatório Regional de Évora - Eborae Musica;38.569836;-7.9150004;Évora;Privado;M
Escola Profissional da Região Alentejo (Sede);38.565815;-7.911363;Évora;Privado;O
INETESE - Instituto para o Ensino e Formação;38.571617;-7.9089656;Évora;Privado;O
Os Salesianos - Colégio de Évora;38.57143;-7.9165344;Évora;Privado;ABCDE
Escola Básica Conde de Vilalva, Évora;38.58465;-7.9086266;Évora;Público;CD
Escola Secundária André de Gouveia, Évora;38.568237;-7.921332;Évora;Público;DE
Escola Básica André de Resende, Évora;38.5731;-7.8958945;Évora;Público;CD
Escola Secundária Gabriel Pereira, Évora;38.574505;-7.9029093;Évora;Público;DE
Escola Básica Manuel Ferreira Patrício, Évora;38.574154;-7.9241643;Évora;Público;ABCD
Escola Básica de Santa Clara, Évora;38.571396;-7.912386;Évora;Público;CD
Escola Secundária Severim de Faria, Évora;38.565483;-7.917576;Évora;Público;DE
Oficio das Artes - Escola Profissional de Montemor-o-Novo;38.6471881;-8.2163404;Évora;Privado;O
Escola Básica São João de Deus, Montemor-o-Novo;38.64628;-8.209289;Évora;Público;CD
Escola Secundária de Montemor-o-Novo;38.645912;-8.211097;Évora;Público;DE
Escola Básica e Secundária de Mora;38.93987;-8.1661215;Évora;Público;CDE
Escola Básica de Mourão;38.38012;-7.345598;Évora;Público;BCD
Escola Básica e Secundária D. João de Portel, Portel;38.309208;-7.7069426;Évora;Público;CDE
Escola Básica e Secundária Dr. Hernâni Cidade, Redondo;38.643517;-7.547915;Évora;Público;ABCDE
Conservatório Regional do Alto Alentejo;38.42557;-7.535544;Évora;Privado;M
Escola Básica António Gião, Reguengos de Monsaraz;38.429146;-7.5276814;Évora;Público;CD
Escola Secundária Conde de Monsaraz, Reguengos de Monsaraz;38.42837;-7.533733;Évora;Público;DE
Colégio de Laura Vicuña;38.674088;-8.455504;Évora;Privado;ABCD
Escola Básica n.º 1 de Vendas Novas;38.67425;-8.459706;Évora;Público;CD
Escola Secundária de Vendas Novas;38.674294;-8.458779;Évora;Público;DE
Escola Básica de Alcáçovas, Viana do Alentejo;38.390293;-8.150032;Évora;Público;ABCD
Escola Básica e Secundária Dr. Isidoro de Sousa, Viana do Alentejo;38.33832;-8.008283;Évora;Público;CDE
Escola Básica D. João IV, Vila Viçosa;38.781654;-7.425807;Évora;Público;CD
Escola Secundária Públia Hortênsia de Castro, Vila Viçosa;38.78005;-7.425084;Évora;Público;DE
Conservatório de Albufeira;37.087166;-8.25234;Faro;Privado;M
Escola Profissional Agostinho Roseta;37.17702;-8.199808;Faro;Privado;O
Escola Básica Dr. Francisco Cabrita, Albufeira;37.099037;-8.236362;Faro;Público;CD
Escola Básica e Secundária de Albufeira;37.106915;-8.239676;Faro;Público;CDE
Escola Básica D. Martim Fernandes, Albufeira;37.086727;-8.259465;Faro;Público;CD
Escola Básica da Guia, Albufeira;37.125408;-8.304605;Faro;Público;BCD
Escola Secundária de Albufeira;37.094036;-8.247611;Faro;Público;DE
Escola Básica de Ferreiras, Albufeira;37.129917;-8.2464075;Faro;Público;BCD
Escola Básica de Paderne, Albufeira;37.173683;-8.204836;Faro;Público;ABCD
Escola Básica Prof.ª Diamantina Negrão, Albufeira;37.103256;-8.224485;Faro;Público;CD
Escola Básica de Alcoutim;37.473457;-7.4747424;Faro;Público;BCD
Escola Básica Prof. Joaquim Moreira, Martinlongo, Alcoutim;37.44203;-7.7703853;Faro;Público;BCD
Escola Básica de Aljezur;37.319756;-8.796212;Faro;Público;ABCD
Escola Básica de Castro Marim;37.218983;-7.44733;Faro;Público;CD
Colégio de N.ª Sr.ª do Alto;37.019547;-7.917414;Faro;Privado;ABCD
Conservatório Regional do Algarve;37.01764;-7.9226394;Faro;Privado;M
Escola de Hotelaria e Turismo do Algarve;37.012196;-7.930868;Faro;Público;O
Escola Profissional D. Francisco Gomes de Avelar;37.01525;-7.934195;Faro;Privado;DO
INETESE - Instituto para o Ensino e Formação;37.020927;-7.940347;Faro;Privado;O
Escola Básica D. Afonso III, Faro;37.02303;-7.9398437;Faro;Público;BCD
Escola Básica de Montenegro, Faro;37.032146;-7.964514;Faro;Público;ABCD
Escola Básica Santo António, Faro;37.021454;-7.921804;Faro;Público;CD
Escola Secundária João de Deus, Faro;37.01903;-7.921342;Faro;Público;E
Escola Básica Dr. José de Jesus Neves Júnior, Faro;37.028954;-7.9370704;Faro;Público;CD
Escola Básica Poeta Emiliano da Costa, Estoi, Faro;37.09184;-7.8949614;Faro;Público;CD
Escola Secundária Pinheiro e Rosa, Faro;37.03096;-7.927992;Faro;Público;DE
Escola Básica Dr. Joaquim Rocha Peixoto Magalhães, Faro;37.013412;-7.9287105;Faro;Público;CD
Escola do Ensino Básico Mediatizado Ilha da Culatra, Faro;36.992043;-7.840762;Faro;Público;CD
Escola Secundária Tomás Cabreira, Faro;37.0163;-7.927376;Faro;Público;DE
Conservatório de Artes de Lagoa;37.134293;-8.456094;Faro;Privado;M
Conservatório de Música de Lagoa - Secção de Lagoa da AML;37.135517593736;-8.4532861411572;Faro;Privado;M
NOBEL - International School Algarve;37.129;-8.42269;Faro;Privado;ABCDE
Escola Básica Jacinto Correia, Lagoa;37.139217;-8.457087;Faro;Público;CD
Escola Secundária Padre António Martins de Oliveira, Lagoa;37.139297;-8.450629;Faro;Público;DE
Escola Básica Professor João Cónim, Estômbar, Lagoa;37.145813;-8.481409;Faro;Público;CD
Escola Básica Rio Arade, Parchal, Lagoa;37.13731;-8.514617;Faro;Público;CD
Academia de Música de Lagos;37.106822;-8.675556;Faro;Privado;M
Conservatório de Música e Artes de Lagos;37.09898;-8.674292;Faro;Privado;M
Escola Internacional Vale Verde;37.077343;-8.766261;Faro;Privado;BCDE
Escola Básica das Naus, Lagos;37.110195;-8.670907;Faro;Público;CD
Escola Secundária Gil Eanes, Lagos;37.096295;-8.687329;Faro;Público;DE
Escola Básica Tecnopolis de Lagos;37.105814;-8.689511;Faro;Público;CD
Escola Secundária Júlio Dantas, Lagos;37.101402;-8.681794;Faro;Público;DE
Colégio Internacional de Vilamoura;37.115932;-8.144725;Faro;Privado;ABCDE
Conservatório de Música de Loulé - Francisco Rosado;37.1411887;-8.0236939;Faro;Público;CDEM
Conservatório de Música de Loulé – Secção de Loulé da Associação da Academia de Música de Lagos;37.138092;-8.020734;Faro;Privado;M
Escola Profissional Cândido Guerreiro - CIPRL;37.23357;-8.174471;Faro;Privado;DO
Escola Secundária de Loulé;37.142693;-8.01743;Faro;Público;E
Escola Básica D. Dinis, Quarteira, Loulé;37.076447;-8.108953;Faro;Público;CD
Escola Básica Dr. António de Sousa Agostinho, Almancil, Loulé;37.083935;-8.035183;Faro;Público;CD
Escola Básica São Pedro do Mar, Quarteira, Loulé;37.069866;-8.095769;Faro;Público;CD
Escola Secundária Dr.ª Laura Ayres, Quarteira, Loulé;37.06847;-8.091888;Faro;Público;DE
Escola Básica Eng. Duarte Pacheco, Loulé;37.142067;-8.026933;Faro;Público;CD
Escola Básica Prof. Dr. Aníbal Cavaco Silva, Boliqueime, Loulé;37.130146;-8.149651;Faro;Público;ABCD
Escola Básica Padre João Coelho Cabanita, Loulé;37.133633;-8.005335;Faro;Público;CD
Escola Básica Professor Sebastião José Pires Teixeira, Salir, Loulé;37.23804;-8.044371;Faro;Público;ABCD
Escola Básica Manuel do Nascimento, Monchique;37.319267;-8.553607;Faro;Público;CD
Colégio Bernardette de Jesus Romeira;37.032944;-7.8466578;Faro;Privado;ABCD
Conservatório de Música de Olhão;37.026405;-7.840301;Faro;Privado;M
Escola Básica Dr. Alberto Iria, Olhão;37.02883;-7.846816;Faro;Público;CD
Escola Básica Dr. António João Eusébio, Moncarapacho, Olhão;37.082054;-7.785287;Faro;Público;CD
Escola Básica Dr. João Lúcio, Fuseta, Olhão;37.056705;-7.762473;Faro;Público;BCD
Escola Secundária Dr. Francisco Fernandes Lopes, Olhão;37.032562;-7.8392177;Faro;Público;DE
Escola Básica João da Rosa, Olhão;37.034035;-7.8319354;Faro;Público;CD
Escola Básica José Carlos da Maia, Olhão;37.038033;-7.838151;Faro;Público;ABCD
Escola Básica Professor Paula Nogueira, Olhão;37.03837;-7.849832;Faro;Público;CD
Academia de Música de Portimão;37.139949;-8.535586;Faro;Privado;M
Colégio João Paulo II;37.143494;-8.549546;Faro;Privado;ABCDE
Conservatório de Música de Portimão Joly Braga Santos;37.138418;-8.536338;Faro;Privado;M
Escola de Hotelaria e Turismo de Portimão;37.144267;-8.553066;Faro;Público;O
Escola Profissional Gil Eanes de Portimão;37.143833;-8.538737;Faro;Privado;DO
Escola Básica D. João II, Alvor, Portimão;37.12798;-8.590508;Faro;Público;CD
Escola Básica e Secundária da Bemposta, Portimão;37.13719;-8.56828;Faro;Público;CDE
Escola Básica José Sobral, Mexilhoeira Grande, Portimão;37.158173;-8.6170635;Faro;Público;BCD
Escola Básica Eng. Nuno Mergulhão, Portimão;37.142696;-8.548904;Faro;Público;CD
Escola Básica Júdice Fialho, Portimão;37.142628;-8.556755;Faro;Público;CD
Escola Básica Prof. José Buísel, Portimão;37.14301;-8.544079;Faro;Público;CD
Escola Secundária Manuel Teixeira Gomes, Portimão;37.14068;-8.545793;Faro;Público;E
Escola Básica D. Martinho de Castelo Branco, Portimão;37.1263;-8.541867;Faro;Público;CD
Escola Secundária Poeta António Aleixo, Portimão;37.126465;-8.540094;Faro;Público;DE
Escola Básica Poeta Bernardo de Passos, São Brás de Alportel;37.157314;-7.8864183;Faro;Público;CD
Escola Secundária José Belchior Viegas, São Brás de Alportel;37.152935;-7.898484;Faro;Público;DE
DSA - Escola Alemã do Algarve;37.14879;-8.431622;Faro;Privado;BCDE
Escola Básica Dr. Garcia Domingues, Silves;37.18827;-8.446314;Faro;Público;CD
Escola Básica João de Deus, São Bartolomeu de Messines, Silves;37.256763;-8.289691;Faro;Público;BCD
Escola Secundária de Silves;37.190591;-8.446089;Faro;Público;DE
Escola Básica de Algoz, Silves;37.16587;-8.300678;Faro;Público;CD
Escola Básica Dr. António da Costa Contreiras, Armação de Pêra, Silves;37.108856;-8.357308;Faro;Público;CD
Academia de Música de Tavira;37.127796;-7.650424;Faro;Privado;M
Escola Básica D. Manuel I, Tavira;37.11916;-7.651918;Faro;Público;ABCD
Escola Básica D. Paio Peres Correia, Tavira;37.131454;-7.6429877;Faro;Público;CD
