Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Conservatório de Dança do Norte;40.849235385603;-8.478213250637;Aveiro;Privado;M
Escola Básica de Carregosa, Oliveira de Azeméis;40.884617;-8.415431;Aveiro;Público;BCD
Escola Básica e Secundária de Fajões, Oliveira de Azeméis;40.918243;-8.430811;Aveiro;Público;CDE
Escola Básica de Loureiro, Alumieira, Oliveira de Azeméis;40.81063;-8.530356;Aveiro;Público;BCD
Escola Básica Dr. José Pereira Tavares, Pinheiro da Bemposta, Oliveira de Azeméis;40.783813;-8.483518;Aveiro;Público;CD
Escola Básica Comendador Ângelo Azevedo, Oliveira de Azeméis;40.87939;-8.465035;Aveiro;Público;ABCD
Escola Básica e Secundária Dr. Ferreira da Silva, Cucujães, Oliveira de Azeméis;40.871548;-8.50938;Aveiro;Público;CDE
Escola Básica e Secundária Ferreira de Castro, Oliveira de Azeméis;40.85751;-8.468882;Aveiro;Público;CDE
Escola Básica e Secundária Soares Basto, Oliveira de Azeméis;40.83544;-8.481905;Aveiro;Público;CDE
Conservatório Artes e Comunicação - Filarmónica União Oliveira do Bairro;40.50993;-8.492484;Aveiro;Privado;M
Escola de Artes da Bairrada;40.49849;-8.561881;Aveiro;Privado;M
Instituto Profissional da Bairrada;40.512561;-8.479691;Aveiro;Privado;O
Escola Básica Dr. Acácio de Azevedo, Oliveira do Bairro;40.510443;-8.491179;Aveiro;Público;CD
Escola Básica Dr. Fernando Peixinho, Oiã, Oliveira do Bairro;40.53972;-8.540273;Aveiro;Público;ABCD
Escola Secundária de Oliveira do Bairro;40.51012;-8.489957;Aveiro;Público;DE
Academia de Música do Orfeão de Ovar;40.86094;-8.62533;Aveiro;Privado;M
EPROFCOR - Escola Profissional de Cortegaça;40.944923;-8.618282;Aveiro;Privado;DO
Externato Luis de Camões;40.857872;-8.630218;Aveiro;Privado;E
Escola Básica de Maceda, Ovar;40.920696;-8.6130905;Aveiro;Público;CD
Escola Básica Florbela Espanca, Esmoriz, Ovar;40.962563;-8.620668;Aveiro;Público;CD
Escola Secundária de Esmoriz, Ovar;40.964912;-8.622406;Aveiro;Público;DE
Escola Básica António Dias Simões, Ovar;40.869526;-8.623757;Aveiro;Público;CD
Escola Secundária Dr. José Macedo Fragateiro, Ovar;40.872307;-8.622902;Aveiro;Público;DE
Escola Básica de São Vicente de Pereira Jusã, Ovar;40.880962;-8.535544;Aveiro;Público;ABCD
Escola Básica Monsenhor Miguel de Oliveira, Válega, Ovar;40.84123;-8.580226;Aveiro;Público;CD
